1728031229.476933 client started (911): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1728031229.477003 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:30 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6000
1728031229.477014 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.0
1728031229.480195 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480198 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480201 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480203 sending message 112 to peer 0x120008000 (8 bytes)
1728031229.480206 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480209 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480211 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480214 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480217 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480219 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480222 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480225 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480227 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480230 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480233 sending message 112 to peer 0x120008000 (8 bytes)
1728031229.480235 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480238 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480241 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480243 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480246 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480249 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480257 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480260 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480263 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480265 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480268 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480271 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480273 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480276 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480279 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480281 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480284 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480287 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480289 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480292 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480295 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480298 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480300 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480303 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480306 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480309 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480311 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480314 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480317 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480320 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480322 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480325 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480328 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480331 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480334 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480337 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480339 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480342 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480345 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480348 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480350 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480353 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480356 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480359 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480362 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480364 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480367 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480370 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480373 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480375 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480378 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480381 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480384 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480386 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480389 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480392 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480394 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480397 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480399 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480402 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480405 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480407 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480410 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480413 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480415 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480418 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480425 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480428 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480431 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480433 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480436 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480439 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480441 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480444 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480447 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480449 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480452 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480455 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480457 sending message 112 to peer 0x120008000 (21 bytes)
1728031229.480460 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480463 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480465 sending message 112 to peer 0x120008000 (6 bytes)
1728031229.480468 sending message 112 to peer 0x120008000 (13 bytes)
