1728031199.790803 client started (854): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1728031199.790904 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:30 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6000
1728031199.791321 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.0
1728031199.791348 flags are 0x10010000
1728031199.791356 socket is /private/tmp/tmux-502/default
1728031199.791372 trying connect
1728031199.791426 add peer 0x140008000: 6 (0x0)
1728031199.794380 sending message 100 to peer 0x140008000 (4 bytes)
1728031199.794391 sending message 111 to peer 0x140008000 (8 bytes)
1728031199.794397 sending message 101 to peer 0x140008000 (15 bytes)
1728031199.794403 sending message 109 to peer 0x140008000 (4 bytes)
1728031199.794409 sending message 102 to peer 0x140008000 (13 bytes)
1728031199.794415 sending message 108 to peer 0x140008000 (39 bytes)
1728031199.794421 sending message 112 to peer 0x140008000 (58 bytes)
1728031199.794427 sending message 112 to peer 0x140008000 (5 bytes)
1728031199.794433 sending message 112 to peer 0x140008000 (5 bytes)
1728031199.794438 sending message 112 to peer 0x140008000 (6 bytes)
1728031199.794444 sending message 112 to peer 0x140008000 (6 bytes)
1728031199.794450 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794455 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.794461 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794467 sending message 112 to peer 0x140008000 (14 bytes)
1728031199.794473 sending message 112 to peer 0x140008000 (19 bytes)
1728031199.794479 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794484 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.794490 sending message 112 to peer 0x140008000 (15 bytes)
1728031199.794496 sending message 112 to peer 0x140008000 (21 bytes)
1728031199.794501 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794507 sending message 112 to peer 0x140008000 (7 bytes)
1728031199.794512 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794518 sending message 112 to peer 0x140008000 (7 bytes)
1728031199.794523 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794529 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794535 sending message 112 to peer 0x140008000 (21 bytes)
1728031199.794540 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794546 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794551 sending message 112 to peer 0x140008000 (16 bytes)
1728031199.794557 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794562 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794568 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794573 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794579 sending message 112 to peer 0x140008000 (8 bytes)
1728031199.794584 sending message 112 to peer 0x140008000 (8 bytes)
1728031199.794590 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794596 sending message 112 to peer 0x140008000 (7 bytes)
1728031199.794602 sending message 112 to peer 0x140008000 (7 bytes)
1728031199.794607 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794613 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794619 sending message 112 to peer 0x140008000 (15 bytes)
1728031199.794624 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794630 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794636 sending message 112 to peer 0x140008000 (8 bytes)
1728031199.794641 sending message 112 to peer 0x140008000 (14 bytes)
1728031199.794647 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794652 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794658 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.794663 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.794669 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.794675 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.794680 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794701 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794706 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794710 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794714 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794718 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794722 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794726 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794729 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794733 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794737 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794741 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794745 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794748 sending message 112 to peer 0x140008000 (9 bytes)
1728031199.794752 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794756 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794759 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794763 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794767 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794771 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794774 sending message 112 to peer 0x140008000 (8 bytes)
1728031199.794778 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794782 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794791 sending message 112 to peer 0x140008000 (11 bytes)
1728031199.794795 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794799 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794802 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794806 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794810 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794814 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794817 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794845 sending message 112 to peer 0x140008000 (8 bytes)
1728031199.794857 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794861 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794864 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794867 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794870 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794889 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794893 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794895 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794898 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794900 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794903 sending message 112 to peer 0x140008000 (8 bytes)
1728031199.794905 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794908 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794910 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794941 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794967 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794972 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794976 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794979 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794982 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794985 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794987 sending message 112 to peer 0x140008000 (8 bytes)
1728031199.794990 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.794993 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794995 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.794998 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795001 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795003 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795017 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795020 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795022 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795025 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.795027 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.795030 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.795033 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.795035 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.795038 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795040 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795043 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795045 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795048 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795050 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795053 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795055 sending message 112 to peer 0x140008000 (10 bytes)
1728031199.795058 sending message 112 to peer 0x140008000 (13 bytes)
1728031199.795060 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.795063 sending message 112 to peer 0x140008000 (12 bytes)
1728031199.795065 sending message 112 to peer 0x140008000 (12 bytes)
